term,estimate,std.error,statistic,p.value,n,df,N,code,outcome,upper,lower
post09,-0.022792909035125385,0.020781649413633578,-1.0967805577632515,0.27274169485402294,3121,60525,9281,ledfr,cognitive,0.003845486443644283,-0.049431304513895054
post12,-0.026688276047269924,0.0195851082471862,-1.362682080202658,0.17298779787233967,3656,60525,9281,ledfr,cognitive,-0.001584412698658673,-0.051792139395881176
post24,-0.01771500047557065,0.010484356807248737,-1.6896602053187229,0.09109813078391163,19252,60525,9281,ledfr,cognitive,-0.0042782955177668395,-0.031151705433374463
post36,-0.014979591087452705,0.011192643214945609,-1.3383425880537638,0.1807898123463821,16933,60525,9281,ledfr,cognitive,-6.350820083772316e-4,-0.02932410016652818
post48,-0.02784087140316005,0.012299812450668239,-2.2635199938879946,0.023607178706172408,14629,60525,9281,ledfr,cognitive,-0.012077315625663547,-0.04360442718065655
pre24,-0.05840446248971469,0.032326565287755,-1.8067017627708735,0.07084850591426926,2186,7566,1484,lejlf,cognitive,-0.016963773246036408,-0.09984515173339298
pre12,0.010648575819357648,0.02832662557659033,0.37592108493705784,0.706986104340211,2500,7566,1484,lejlf,cognitive,0.04696020595796259,-0.02566305431924729
post03,-0.0029770287587409087,0.043168928141090204,-0.06896230429930998,0.9450214472548774,870,7566,1484,lejlf,cognitive,0.05238826675198623,-0.05834232426946805
post06,-0.019079240713701213,0.047067235945262374,-0.4053614012067701,0.6852233404237733,640,7566,1484,lejlf,cognitive,0.04130227249240943,-0.07946075391981186
post09,-0.025205106828259195,0.05915175577439528,-0.42610919149029897,0.670040404452034,412,7566,1484,lejlf,cognitive,0.05072296030986421,-0.1011331739663826
post12,-0.0283529006338319,0.049653970343464575,-0.5710097387522143,0.568010000598322,616,7566,1484,lejlf,cognitive,0.03534964949701659,-0.0920554507646804
post24,-0.032458126920860746,0.030301266160506518,-1.0711805489885897,0.2841224237336444,2400,7566,1484,lejlf,cognitive,0.006385204206185928,-0.07130145804790741
post36,-0.05011257844560149,0.03199096856281852,-1.5664601822604645,0.1172827434009912,2061,7566,1484,lejlf,cognitive,-0.009101351176205683,-0.0911238057149973
post48,-0.019660090250970954,0.038304857029560956,-0.5132531949094262,0.6077892058951495,1808,7566,1484,lejlf,cognitive,0.029447511879231125,-0.06876769238117303
pre24,-0.037736535946640073,0.08824070245221638,-0.4276545278758967,0.6689750484803931,320,1272,336,lejls,cognitive,0.0755831495877969,-0.15105622148107706
pre12,-0.13507686478776917,0.0894436085432823,-1.5101902415129491,0.1312432467743464,384,1272,336,lejls,cognitive,-0.020252213200545308,-0.24990151637499303
post03,0.03579706940519879,0.1402905567650478,0.2551637845813819,0.7986378510281901,120,1272,336,lejls,cognitive,0.21659037847822776,-0.14499623966783015
post06,-0.2626605161123413,0.12487082949954441,-2.1034577664377543,0.03562173421932886,117,1272,336,lejls,cognitive,-0.10171546516521363,-0.423605567059469
post09,0.11604624011869293,0.13836619510011372,0.8386892480112547,0.40180129111659213,75,1272,336,lejls,cognitive,0.29496712329823827,-0.0628746430608524
post12,-0.1489061557268555,0.13588296230829777,-1.0958412533648634,0.27335568537263694,108,1272,336,lejls,cognitive,0.026316778694822435,-0.3241290901485334
post24,0.07031291482287069,0.09404342987239744,0.7476642963604642,0.45480086696344635,381,1272,336,lejls,cognitive,0.19104430694501567,-0.0504184772992743
post36,-0.03259539013569953,0.1047469910726879,-0.31118211417720204,0.7557131681824968,327,1272,336,lejls,cognitive,0.10191585969135217,-0.16710663996275124
post48,-0.0019304126263722527,0.11528391077630439,-0.016744857225723404,0.9866427872645827,274,1272,336,lejls,cognitive,0.14617024862583256,-0.15003107387857706
pre24,0.015025671932700076,0.018606215340199003,0.8075619709848725,0.4193499874008959,5794,26674,5015,lepcm,cognitive,0.03887321574598906,-0.008821871880588904
pre12,-0.016096923288406055,0.017691135251950065,-0.9098863955964452,0.3628906466321673,6907,26674,5015,lepcm,cognitive,0.006577347702266187,-0.0387711942790783
post03,-0.066496941804695,0.02409254874760236,-2.7600625613059155,0.005782973638495771,3010,26674,5015,lepcm,cognitive,-0.03561431826035474,-0.09737956534903525
post06,-0.06369276580771274,0.028150010118389003,-2.2626196416926123,0.023667153142459218,1975,26674,5015,lepcm,cognitive,-0.027604999516214902,-0.09978053209921059
post09,-0.031137612978159007,0.031993301795255696,-0.97325412604886,0.3304358414553896,1401,26674,5015,lepcm,cognitive,0.00988280880475436,-0.07215803476107238
post12,-0.041758270452651826,0.03427902158724879,-1.2181873495533253,0.2231635606123528,1341,26674,5015,lepcm,cognitive,0.0021937310193180723,-0.08571027192462172
post24,-0.0050981897295896104,0.01884756079185317,-0.27049599605447594,0.7867807896558622,7265,26674,5015,lepcm,cognitive,0.019058128107706872,-0.029254507566886093
post36,-0.017563464189963043,0.020513503253869428,-0.8561903821401191,0.3919001727844126,6530,26674,5015,lepcm,cognitive,0.008728308184209468,-0.04385523656413555
post48,-0.02227030640440872,0.02331211418699916,-0.9553104547175114,0.33942937947219287,5825,26674,5015,lepcm,cognitive,0.007608759101940692,-0.05214937191075813
pre24,0.0064899604005907675,0.011949866468610801,0.5430989892345834,0.5870640627207557,13930,50141,8244,leins,cognitive,0.021805056812503148,-0.008825136011321611
pre12,-0.0355197182962107,0.011488441765557954,-3.091778591131295,0.0019907029627053356,15633,50141,8244,leins,cognitive,-0.020796065557641283,-0.05024337103478012
post03,-0.1494281905342419,0.016889918615982186,-8.847182389194261,9.260956907833925e-19,5410,50141,8244,leins,cognitive,-0.12778024505000035,-0.17107613601848343
post06,-0.1555035608489953,0.019395326510064724,-8.017578913574907,1.1016294095434201e-15,3869,50141,8244,leins,cognitive,-0.1306432040225232,-0.18036391767546742
post09,-0.1678968794934358,0.021691771435043063,-7.7401184129295375,1.0117620076677731e-14,2937,50141,8244,leins,cognitive,-0.14009149967234144,-0.19570225931453014
post12,-0.14804121964759762,0.019016805783915576,-7.78475740509539,7.117951219730095e-15,4209,50141,8244,leins,cognitive,-0.12366637592205533,-0.1724160633731399
post24,-0.07525763038830417,0.011898181435358226,-6.325137231867934,2.5513440247777996e-10,15051,50141,8244,leins,cognitive,-0.060008828022387724,-0.09050643275422061
post36,-0.05941363882920196,0.012566381201008229,-4.727983170241172,2.2737631034137043e-6,13025,50141,8244,leins,cognitive,-0.04330835644684962,-0.0755189212115543
post48,-0.04953346254803637,0.01387933400641689,-3.5688645092866382,3.5886633238274335e-4,11152,50141,8244,leins,cognitive,-0.03174532653957898,-0.06732159855649375
pre24,-0.03795484696046858,0.00952103196472253,-3.986421545594999,6.713862169948888e-5,23302,77590,12347,lemvd,cognitive,-0.025752807607088896,-0.050156886313848265
pre12,-0.0883574188140189,0.008885392472324028,-9.944121105424676,2.7625567505487764e-23,26863,77590,12347,lemvd,cognitive,-0.07697005014092127,-0.09974478748711653
post03,0.061397272555706144,0.013592727755428505,4.516920640243532,6.2837720710380105e-6,9075,77590,12347,lemvd,cognitive,0.07881832235733699,0.0439762227540753
