term,estimate,std.error,statistic,p.value,n,df,N,code,outcome,upper,lower
pre12,-0.0198247131398392,0.03624832631501279,-0.5469138896939497,0.5844616533013114,1435,5136,992,lepcm,losat,0.02665079604153513,-0.06630022232121353
post03,0.003132295845635746,0.05106726605432863,0.061336666080839514,0.9510934770452093,563,5136,992,lepcm,losat,0.06865464962074173,-0.062390057929470236
post06,0.06785456743768656,0.062394336643138565,1.0875116410929653,0.27686178853518995,317,5136,992,lepcm,losat,0.14798364300077693,-0.012274508125403816
post09,0.007412326168659148,0.06859550772665819,0.10805847808862422,0.9139535258572842,255,5136,992,lepcm,losat,0.09555024413214079,-0.08072559179482248
post12,0.07826213550880674,0.08233658040117849,0.950514766674553,0.3418954796410443,209,5136,992,lepcm,losat,0.184116917550869,-0.027592646533255508
post24,0.06129556208744708,0.03782040798203117,1.6207007104886118,0.10514322897211371,1437,5136,992,lepcm,losat,0.10978667240384893,0.012804451771045229
post36,0.05752279164733766,0.03875564506913332,1.4842429159604238,0.1378058539738601,1332,5136,992,lepcm,losat,0.10721481234534791,0.007830770949327402
post48,0.08457221022323294,0.04170829499100643,2.0277072040818083,0.042641667678685026,1239,5136,992,lepcm,losat,0.13805207799873825,0.031092342447727614
pre24,-0.0222156012729551,0.020554227328726533,-1.0808288201574299,0.27979409120142085,4420,12516,2311,leins,losat,0.004129639284837044,-0.04856084183074724
pre12,-0.05880054440042091,0.021012781049295347,-2.798322804700464,0.005144728160925801,4303,12516,2311,leins,losat,-0.03186744622521214,-0.08573364257562968
post03,-0.13755192953365178,0.03320349654751837,-4.142694108639965,3.45505078984028e-5,1251,12516,2311,leins,losat,-0.09497743675615378,-0.18012642231114978
post06,-0.13723914629066988,0.03741732132556,-3.6677971973616668,2.456633494368699e-4,944,12516,2311,leins,losat,-0.08925330387544603,-0.18522498870589374
post09,-0.16034450060092353,0.04124643262374097,-3.8874756045843126,1.018150323411695e-4,722,12516,2311,leins,losat,-0.1074365941807212,-0.21325240702112586
post12,-0.14221780407651063,0.03670639100214169,-3.874469818299836,1.0740173402909842e-4,1018,12516,2311,leins,losat,-0.09514609532674304,-0.18928951282627823
post24,-0.0660940097403132,0.021193489677345877,-3.118599661808519,0.0018212493762825755,4096,12516,2311,leins,losat,-0.038929077681692605,-0.09325894179893379
post36,-0.055087019707638414,0.02219048642760453,-2.482461116269684,0.013060840067448192,3771,12516,2311,leins,losat,-0.026643783136943783,-0.08353025627833305
post48,-0.052372458396959753,0.022865804684827306,-2.2904270861594345,0.02201312166295441,3438,12516,2311,leins,losat,-0.02306311730906382,-0.08168179948485568
pre24,-0.03426557611642444,0.017003788048514323,-2.015173090764227,0.043901690993091574,6765,17599,3365,lemvd,losat,-0.012472216510009505,-0.056058935722839376
pre12,-0.09774072119806791,0.017236706760307256,-5.670498579412255,1.4461688438632927e-8,6895,17599,3365,lemvd,losat,-0.07564887578599602,-0.1198325666101398
post03,0.05373470916225599,0.02706562973187371,1.9853485654898901,0.04712119947843524,1883,17599,3365,lemvd,losat,0.08843288868101948,0.019036529643492506
post06,-0.0018145753912919137,0.02835161795984478,-0.064002533959859,0.9489689360341056,1774,17599,3365,lemvd,losat,0.034533027675130806,-0.038162178457714635
post09,0.01650978450516939,0.029035924322890348,0.5685985512833828,0.5696358633944625,1646,17599,3365,lemvd,losat,0.0537357679884205,-0.02071619897808173
post12,0.07979666319488032,0.030894260959065577,2.5828960045559817,0.009805479329610248,1333,17599,3365,lemvd,losat,0.11940889723114903,0.04018442915861161
post24,-0.023586351953879835,0.017442593594295612,-1.3522273408693914,0.1763199753417812,7002,17599,3365,lemvd,losat,-0.0012306594049451246,-0.04594204450281454
post36,-0.01542417058526749,0.01725507508484517,-0.8938918265742157,0.37139199502817266,6999,17599,3365,lemvd,losat,0.0066911855414116764,-0.03753952671194666
post48,-0.0018338482694058278,0.017739315105922995,-0.10337762526093934,0.9176644473546652,6926,17599,3365,lemvd,losat,0.020902167627752613,-0.024569864166564266
pre24,0.007347455923123495,0.04218345938835678,0.17417860056189455,0.8617342843989304,1176,3840,771,lesep,losat,0.061438144876386935,-0.04674323303013994
pre12,-0.13171987029446008,0.04100902071032951,-3.211973073555545,0.0013291521580582253,1227,3840,771,lesep,losat,-0.07913636222870292,-0.18430337836021726
post03,-0.41761028373935566,0.07559655786572793,-5.524197073643235,3.5294857551804e-8,308,3840,771,lesep,losat,-0.3205204726190458,-0.5147000948596655
post06,-0.2353039114573246,0.08221926188609306,-2.8619073688999506,0.004233780875985908,221,3840,771,lesep,losat,-0.12961832689775066,-0.34098949601689854
post09,-0.3669035748755821,0.07854943228055772,-4.670989518614214,3.100136958334519e-6,238,3840,771,lesep,losat,-0.2659570416210944,-0.46785010813006983
post12,-0.07886714751594391,0.06484593953959213,-1.216223376142018,0.22397459598009453,391,3840,771,lesep,losat,0.004377274532590805,-0.16211156956447864
post24,-0.17050525226282526,0.04413387827165975,-3.8633643572700467,1.1368112817818413e-4,1198,3840,771,lesep,losat,-0.1139141799531041,-0.22709632457254642
post36,-0.12874518877666136,0.04521122331655427,-2.8476378061091037,0.0044279020844617345,1092,3840,771,lesep,losat,-0.07076957044663165,-0.18672080710669106
post48,-0.13794142651629926,0.044679189975969466,-3.0873752767337668,0.002033735309630518,1001,3840,771,lesep,losat,-0.08064489041520626,-0.19523796261739226
pre24,0.04964805534262207,0.09472695871952663,0.5241174847555601,0.6003227962094667,294,922,227,ledsc,losat,0.1713198695165547,-0.07202375883131057
