term,estimate,std.error,statistic,p.value,n,df,N,code,outcome,upper,lower
post12,0.04573148250193782,0.08539383466467053,0.5355361154762386,0.5923080339435454,201,4129,870,ledhm,losat,0.15553077212836267,-0.06406780712448701
post24,-0.14344467064093,0.05906386022819369,-2.4286369039668316,0.01519812087873712,1065,4129,870,ledhm,losat,-0.0677042634098092,-0.2191850778720508
post36,-0.12369121410978452,0.07095864824826233,-1.7431450170390406,0.08138272274186997,841,4129,870,ledhm,losat,-0.0326824750220408,-0.21469995319752824
post48,-0.12365877873889987,0.08440635132065177,-1.465041158681671,0.14298582572761187,729,4129,870,ledhm,losat,-0.015389440684108635,-0.2319281167936911
pre24,0.010302328871600661,0.010223136221065009,1.0077464144879997,0.31358038423871837,16841,58507,7722,ledfr,losat,0.023404319061169857,-0.0027996613179685353
pre12,0.010289668535210236,0.009970683290637251,1.0319923153985364,0.30207998329437835,18078,58507,7722,ledfr,losat,0.02306808028182613,-0.00248874321140566
post03,-0.004273919236517234,0.013692966543190391,-0.3121251500203719,0.7549465259883471,6931,58507,7722,ledfr,losat,0.013275996400984803,-0.02182383487401927
post06,-0.043677334971059495,0.017535687793960284,-2.490768282616381,0.012749472707982181,4324,58507,7722,ledfr,losat,-0.021201012228965033,-0.06615365771315396
post09,-0.020689859102991835,0.020941199119469966,-0.9879978211828162,0.3231578010792888,2730,58507,7722,ledfr,losat,0.0061538653541998965,-0.04753358356018357
post12,-0.022944917157836156,0.01976335880910926,-1.160982674021,0.2456536822643325,3127,58507,7722,ledfr,losat,0.002388199741157601,-0.04827803405682991
post24,-0.012703861711807981,0.010319869249159603,-1.2310099483908208,0.21832409201587,17602,58507,7722,ledfr,losat,5.22079271716323e-4,-0.025929802695332287
post36,-0.01540402115814527,0.011017037096518426,-1.3981999899966941,0.16205831980318555,15643,58507,7722,ledfr,losat,-0.001284523723704042,-0.0295235185925865
post48,-0.023096192734365122,0.012031644094233582,-1.9196206730744685,0.05491068839570693,13522,58507,7722,ledfr,losat,-0.007676267039408427,-0.038516118429321816
pre24,-0.04422399904887176,0.030528692046229086,-1.44860444665969,0.14749336772498692,1987,6923,1115,lejlf,losat,-0.0050868878847754526,-0.08336111021296808
pre12,-0.0015336956290990498,0.028094980076797012,-0.05458966779498425,0.9564669455824899,2115,6923,1115,lejlf,losat,0.03448272474156722,-0.03755011599976532
post03,-0.021902912699983637,0.04360976963113081,-0.5022478422896381,0.6155091671161033,698,6923,1115,lejlf,losat,0.03403827608667542,-0.0778441014866427
