code,auc,N,variance,outcome,z_score,p_2tail,model
Home_lost,-5.596174702616229,1447,12.182019889569634,affective,-0.10795126066083979,0.9140343545416316,unconditional
Relative_died,-1.418707328862943,12060,0.2678876739252527,affective,1.3659490672282413,0.17195495032774571,unconditional
Widowed,-2.323479967570745,1271,7.747539849437056,affective,-0.28805199657091535,0.7733069370743031,unconditional
Money_gained,1.7192690575676877,4059,1.5396673695111756,affective,1.4553932740872129,0.1455604173725911,unconditional
Money_lost,-7.520369763313145,3445,0.9997175595694624,affective,-0.7828481878402497,0.43371626625554693,unconditional
Fired,-1.2634675679972032,4058,1.3826137160109502,affective,-1.5629131418952389,0.11807302611825132,unconditional
Family_harmed,-2.178624342783068,12725,0.17786713175461105,affective,1.0990615657179894,0.2717412128468213,unconditional
Health_shock,-6.354031999475176,8592,0.3374329745201315,affective,1.7271182554889923,0.0841464276572205,unconditional
Relative_jailed,-1.063694608317868,1562,2.208691754913024,affective,-0.609388860334912,0.542266719868248,unconditional
Jailed,-8.599531152343479,335,31.384230976392633,affective,0.9770142711655582,0.3285620871886869,unconditional
Hired,-1.0002960472715459,10479,0.20843176348379433,affective,-2.5684161389895723,0.010216442852716001,unconditional
Married,-2.1228066410133675,3715,3.6099588734047976,affective,3.245560066645934,0.0011721983243481318,unconditional
Moved,-0.5170381472700926,12986,0.17647120641629893,affective,-3.522767112771816,4.2706644959569556e-4,unconditional
Robbed,-2.4242692468216283,5327,1.0525056334271354,affective,0.4906371540915544,0.623683103240369,unconditional
Pregnant,-1.5782024513551782,4689,0.4893338924054642,affective,3.197938498215274,0.0013841379664054439,unconditional
Promoted,1.0980973121139472,6012,0.5413656807067185,affective,-1.3003389555228473,0.1934848221035385,unconditional
Reconciled,-4.269958953801147,1407,5.641786474875788,affective,0.9092434882387329,0.3632216133166645,unconditional
Retired,-0.7475007648233274,3029,1.6047339985619176,affective,2.633755630985801,0.008444624097024095,unconditional
Separated,-4.254089021984243,4381,1.0297612862755354,affective,-2.5391925898168415,0.011110864135979698,unconditional
Attacked,-5.217771885737466,1885,2.649805182073694,affective,0.8492423446382932,0.3957464553517543,unconditional
