term,estimate,std.error,statistic,p.value,df,n,N,code,outcome,upper,lower
post03,-0.06332266780936678,0.02940506060554759,-2.153461564279866,0.031294602665673625,19563,1954,4058,lefrd,affective,-0.025625815472695004,-0.10101952014603856
post06,-0.026034810048253476,0.03395359800311301,-0.766776176294085,0.4432238560858337,19563,1393,4058,lefrd,affective,0.01749913649095508,-0.06956875658746203
post09,-0.017247576467801014,0.03615666760467456,-0.4770233987374196,0.6333507883483414,19563,1155,4058,lefrd,affective,0.029115597868030522,-0.06361075080363254
post12,0.0052712969685879945,0.03394237299328025,0.15530136828181051,0.876585339219129,19563,1304,4058,lefrd,affective,0.04879226266190907,-0.03824966872473308
post24,-0.020481600873675454,0.021869952266607828,-0.9365178590237629,0.3490181825187457,19563,5436,4058,lefrd,affective,0.007549277695817869,-0.04851247944316878
post36,-0.004409036473219971,0.024260485394715918,-0.18173735609512107,0.8557907310955586,19563,4700,4058,lefrd,affective,0.026686398028352,-0.035504470974791945
post48,1.5079938178832002e-4,0.02804136249293596,0.005377748025842491,0.9957092533939179,19563,4070,4058,lefrd,affective,0.03609308655911524,-0.03579148779553859
pre24,0.002044223125462057,0.02127389282099168,0.09609069400993465,0.9234494894298901,20328,4447,4059,lefni,affective,0.029311865256664932,-0.025223419005740814
pre12,-0.043272229400436624,0.020828799735990538,-2.0775191057056253,0.03776619679655774,20328,5091,4059,lefni,affective,-0.016575583720043818,-0.06996887508082943
post03,0.07479574242442512,0.030342944234503705,2.465012684542756,0.013709043803841406,20328,1709,4059,lefni,affective,0.1136968357899855,0.03589464905886473
post06,0.04913445725629583,0.03196748387612222,1.537013593146638,0.12430554460481198,20328,1371,4059,lefni,affective,0.09012220014047986,0.008146714372111792
post09,0.06801683264526444,0.03726723815290466,1.825110633801102,0.06799900293269576,20328,1046,4059,lefni,affective,0.11580693080374199,0.020226734486786885
post12,0.06607100629641582,0.036278841803760106,1.8211994377827112,0.06859123779996773,20328,1055,4059,lefni,affective,0.1125933710352274,0.01954864155760424
post24,0.041096417780739296,0.022889234254860343,1.7954474720801463,0.0725972818528684,20328,5116,4059,lefni,affective,0.07043394067582848,0.011758894885650122
post36,0.02982070973975281,0.024506845970881458,1.216831809984246,0.22368234161529166,20328,4553,4059,lefni,affective,0.06123205503927905,-0.001590635559773436
post48,0.04907879056285614,0.02870248659577606,1.7099142403250427,0.0872969932929315,20328,4034,4059,lefni,affective,0.08586853326743635,0.012289047858275934
pre24,0.0066150965774782276,0.02081029017561016,0.317876229579498,0.7505826681534319,17267,4436,3445,lefnw,affective,0.03328852955372769,-0.020058336398771234
pre12,-0.1086361547490187,0.01971185846612218,-5.511208135738515,3.614788295850511e-8,17267,5080,3445,lefnw,affective,-0.08337110559695889,-0.13390120390107854
post03,-0.4094807877981094,0.032763217476039386,-12.49818605567581,1.0899370359422666e-35,17267,1517,3445,lefnw,affective,-0.36747473093938987,-0.451486844656829
post06,-0.32775332203365765,0.03355896427911733,-9.766490983084601,1.7926836997872363e-22,17267,1270,3445,lefnw,affective,-0.2847233788152939,-0.3707832652520214
post09,-0.3183464261737249,0.03767005345892815,-8.450915168485748,3.117557286466288e-17,17267,988,3445,lefnw,affective,-0.27003797716784006,-0.3666548751796097
post12,-0.29144466371431543,0.032868275517122576,-8.867050647743557,8.23047019343045e-19,17267,1382,3445,lefnw,affective,-0.24930211491760082,-0.33358721251103
post24,-0.09878994767253327,0.020212262001262533,-4.887624535361875,1.0297597035627104e-6,17267,5187,3445,lefnw,affective,-0.07288359169664638,-0.12469630364842016
post36,-0.06812267204937618,0.02174709932974149,-3.1324946383176315,0.0017361727602249655,17267,4581,3445,lefnw,affective,-0.040248622448114,-0.09599672165063836
post48,-0.02100750245269364,0.02520161344279901,-0.8335776794757649,0.4045305383544977,17267,4055,3445,lefnw,affective,0.011294928362696428,-0.05330993326808371
