term,estimate,std.error,statistic,p.value,df,n,N,code,outcome,upper,lower
post03,-0.08909652049462632,0.023838648926014047,-3.7374819676713846,1.8625711907221837e-4,26887,3010,5015,lepcm,cognitive,-0.05853935411508136,-0.11965368687417129
post06,-0.08459954198879495,0.028383514317775388,-2.980587288862037,0.0028795360171963258,26887,1975,5015,lepcm,cognitive,-0.04821242784839405,-0.12098665612919585
post09,-0.043005128759853975,0.03202192606036104,-1.3429900712027658,0.1792865252322248,26887,1401,5015,lepcm,cognitive,-0.0019480061876516047,-0.08406225133205635
post12,-0.05665842236813111,0.03423359583893835,-1.655053200800077,0.09792537801123269,26887,1341,5015,lepcm,cognitive,-0.012764665048536572,-0.10055217968772565
post24,-0.011206395355182985,0.018524557422796746,-0.6049480751098613,0.5452186037835589,26887,7265,5015,lepcm,cognitive,0.012535939360816591,-0.03494873007118256
post36,-0.024040010594407017,0.020013377439310063,-1.2011970826667109,0.22968534194046536,26887,6530,5015,lepcm,cognitive,0.0016107599034837251,-0.049690781092297756
post48,-0.024142017859287414,0.022845785845110808,-1.0567383421592393,0.29064051547865205,26887,5825,5015,lepcm,cognitive,0.005139356036469256,-0.05342339175504408
pre24,0.005130980076320413,0.01180221094061351,0.43474736234918465,0.6637476790729524,50354,13930,8244,leins,cognitive,0.020256839340439523,-0.009994879187798695
pre12,-0.047298033545638184,0.011419150199724835,-4.141992417857671,3.4486269248472525e-5,50354,15633,8244,leins,cognitive,-0.03266318527453773,-0.06193288181673864
post03,-0.16519290517347276,0.016850292462877624,-9.803563085768648,1.138844944617918e-22,50354,5410,8244,leins,cognitive,-0.14359574885060386,-0.18679006149634167
post06,-0.17254452454014066,0.01942297049955722,-8.883529146279356,6.685594616183332e-19,50354,3869,8244,leins,cognitive,-0.147648734464193,-0.19744031461608832
post09,-0.18815611280173852,0.02169708501037979,-8.671953523329307,4.371768770460902e-18,50354,2937,8244,leins,cognitive,-0.16034392182735097,-0.21596830377612608
post12,-0.1691653221282863,0.018950483365657602,-8.926702230448152,4.532950576275009e-19,50354,4209,8244,leins,cognitive,-0.14487548734688044,-0.19345515690969217
post24,-0.08364287970713628,0.011811439986189418,-7.081514176504822,1.4444929937831021e-12,50354,15051,8244,leins,cognitive,-0.06850524586075321,-0.09878051355351936
post36,-0.06051069065341316,0.012441302650063003,-4.863694128774107,1.1556206347581134e-6,50354,13025,8244,leins,cognitive,-0.04456571101460538,-0.07645567029222095
post48,-0.052335213010209866,0.013855738793197457,-3.7771506659683927,1.5881513213529942e-4,50354,11152,8244,leins,cognitive,-0.034577317275651914,-0.07009310874476782
pre24,-0.05307565784896537,0.009301761049535165,-5.705979498539979,1.1609447862056268e-8,77803,23302,12347,lemvd,cognitive,-0.04115463344712469,-0.06499668225080606
pre12,-0.11288670242556954,0.008714155374340506,-12.954405513352796,2.430895185545367e-38,77803,26863,12347,lemvd,cognitive,-0.10171878832032846,-0.12405461653081062
post03,0.03058375008916553,0.013496373725684801,2.266071665677272,0.02344973048088936,77803,9075,12347,lemvd,cognitive,0.047881308242839066,0.013286191935491989
post06,-0.008070508215537394,0.013611139061152517,-0.5929340798942677,0.5532269927400357,77803,8462,12347,lemvd,cognitive,0.009374230359424116,-0.025515246790498904
post09,-0.029327598077972358,0.01430221052328462,-2.0505640040905395,0.04031276755924257,77803,7419,12347,lemvd,cognitive,-0.010996945392303809,-0.04765825076364091
post12,0.034073256008538826,0.0148779077988189,2.2901913675821928,0.022012888574194586,77803,6541,12347,lemvd,cognitive,0.0531419881424253,0.01500452387465235
post24,-0.027486545396223746,0.008569846521519743,-3.2073556191703405,0.001340154655131734,77803,28427,12347,lemvd,cognitive,-0.016503589936376288,-0.038469500856071204
post36,-0.016134254009117763,0.009122553691802975,-1.7686115702026635,0.07696263617994133,77803,24768,12347,lemvd,cognitive,-0.004442919208306811,-0.027825588809928713
post48,-0.011880981432479861,0.010046940105725936,-1.1825472539354218,0.2369922411250806,77803,21702,12347,lemvd,cognitive,9.950823455729865e-4,-0.024757045210532708
pre24,-0.017465907495393753,0.01867642719534135,-0.9351846213793209,0.3497030547973877,22828,5335,4225,lesep,cognitive,0.00647186161584749,-0.04140367660663499
pre12,-0.10772533818451856,0.018064393816646613,-5.963407312635535,2.5066598433661278e-9,22828,6159,4225,lesep,cognitive,-0.08457240229342705,-0.13087827407561006
post03,-0.3856376144002123,0.03129188519142326,-12.323885634922089,8.691948981120098e-35,22828,1826,4225,lesep,cognitive,-0.34552092883504515,-0.4257542999653795
post06,-0.3115694106720644,0.032696794678890036,-9.529050591409264,1.7402965268166897e-21,22828,1470,4225,lesep,cognitive,-0.2696479304461402,-0.3534908908979886
post09,-0.31929327602638075,0.036627334719948064,-8.717349445917682,3.0384172912365086e-18,22828,1296,4225,lesep,cognitive,-0.2723295008888569,-0.3662570511639046
post12,-0.2053917929957367,0.02697066899838283,-7.615376281843512,2.7311589604929702e-14,22828,2334,4225,lesep,cognitive,-0.1708177001362763,-0.2399658858551971
post24,-0.1135740284227143,0.018953608764706985,-5.992211289820306,2.101103648644211e-9,22828,6361,4225,lesep,cognitive,-0.08928147823979961,-0.137866578605629
post36,-0.055458721630766906,0.020201317090584963,-2.745302268267153,0.006050247982437221,22828,5552,4225,lesep,cognitive,-0.02956661080369585,-0.08135083245783796
post48,-0.05403921681766102,0.02281142546635803,-2.3689539655186085,0.01784674756476523,22828,4858,4225,lesep,cognitive,-0.024801222169994776,-0.08327721146532727
pre24,0.002680313274082361,0.03694337574226323,0.07255193171251219,0.9421650882323859,6022,1320,1213,ledsc,cognitive,0.05004887809482689,-0.04468825154666217
pre12,-0.06839719664626842,0.03785301701132546,-1.8069153279328904,0.07082537347795012,6022,1483,1213,ledsc,cognitive,-0.01986497025421831,-0.11692942303831853
post03,-0.22954429423431497,0.07015556859095669,-3.2719326326421374,0.0010741672466982695,6022,389,1213,ledsc,cognitive,-0.13948297531802972,-0.3196056131506002
post06,-0.30603166747451327,0.07358838019230636,-4.158695526043237,3.24517582496368e-5,6022,337,1213,ledsc,cognitive,-0.21153857791051714,-0.4005247570385094
post09,-0.25133914155025383,0.07993076481103337,-3.144460610935626,0.0016720267295683758,6022,263,1213,ledsc,cognitive,-0.14864480341245825,-0.35403347968804944
post12,-0.22189825971229446,0.06281260187761416,-3.5327028825305993,4.144175370790975e-4,6022,470,1213,ledsc,cognitive,-0.14128712618535477,-0.30250939323923415
post24,0.0059295535357888115,0.04476824950960858,0.13244997516635434,0.8946328134850934,6022,1484,1213,ledsc,cognitive,0.0633279417904074,-0.051468834718829785
post36,0.002184752461542873,0.05202632120529136,0.04199321441395075,0.9665054996284863,6022,1307,1213,ledsc,cognitive,0.06889290814966471,-0.06452340322657897
post48,0.026633204572430662,0.06228431381012492,0.4276069357306009,0.6689526051740005,6022,1151,1213,ledsc,cognitive,0.10649964260386045,-0.05323323345899912
pre24,0.0633855982379857,0.01852541428637625,3.421548217931084,6.2375768904557e-4,22621,5354,3971,lebth,cognitive,0.08712980210949221,0.03964139436647919
pre12,0.1655809405928761,0.017635230164672562,9.389213469103055,6.598442095083527e-21,22621,6220,3971,lebth,cognitive,0.18818379834152105,0.14297808284423114
post03,0.23804639988960236,0.02716080083840409,8.764336563781137,2.0084801010350725e-18,22621,1945,3971,lebth,cognitive,0.2728661989777519,0.20322660080145283
post06,0.14999975580905744,0.03047569055029994,4.921947726220798,8.628973205004542e-7,22621,1642,3971,lebth,cognitive,0.1890716534837623,0.1109278581343526
post09,0.1137153907303265,0.03007999586005214,3.780432392989345,1.5695834071336018e-4,22621,1509,3971,lebth,cognitive,0.15228135085138808,0.0751494306092649
post12,0.08047085235822794,0.028674581637982612,2.806347913778645,0.005014937814126869,22621,1676,3971,lebth,cognitive,0.11723330599836279,0.04370839871809309
post24,-0.0380183439625427,0.01860755065805879,-2.0431675646723146,0.04104741627418585,22621,6248,3971,lebth,cognitive,-0.014169286344098551,-0.06186740158098685
post36,-0.09678419527807414,0.021433734020757288,-4.515507899106354,6.3483999624190904e-6,22621,5616,3971,lebth,cognitive,-0.06931252789327136,-0.12425586266287691
post48,-0.06536541038771279,0.024141975056468874,-2.7075419568954464,0.006783441692976774,22621,4999,3971,lebth,cognitive,-0.034422134625589254,-0.09630868614983633
pre24,0.042626321470300634,0.016151791733807073,2.6391079189734796,0.008317383497221198,26130,7848,4485,leprg,cognitive,0.06332741816191712,0.02192522477868415
